//Motor_Max=30.0,Motor_Min=-25.0,Battery_Max=30.0,Battery_Min=-12.0,Cutoff_Start=30.0,Cutoff_End=28.0,Temp_Start=85.0,Temp_End=100.0,Watt_Max=15000,Speed_Limit=25.0,Wheelsize=80,Motor_Teeth=15,Wheel_Teeth=36,Motor_Poles=14,Battery_Cells=10,Battery_Wh=300,Vesc_Count=2,Speed_Unit=0
Time,TempPcb,MotorCurrent,BatteryCurrent,DutyCycle,Speed,InpVoltage,AmpHours,AmpHoursCharged,WattHours,WattHoursCharged,Distance,Power,Fault,TimePassedInMs,Latitude,Longitude,Altitude,GPSSpeed
20_09_2022_15_43_36.115,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24265,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.301,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24451,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.489,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24639,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.676,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24826,0.0,0.0,0.0,0.0
20_09_2022_15_43_36.826,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,24976,0.0,0.0,0.0,0.0
20_09_2022_15_43_37.014,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,25164,0.0,0.0,0.0,0.0
20_09_2022_15_43_37.501,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,25651,0.0,0.0,0.0,0.0
20_09_2022_15_43_37.689,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,25839,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.176,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26326,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.327,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26477,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.514,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26664,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.701,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,26851,0.0,0.0,0.0,0.0
20_09_2022_15_43_38.889,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,27039,0.0,0.0,0.0,0.0
20_09_2022_15_43_39.038,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,27188,0.0,0.0,0.0,0.0
20_09_2022_15_43_39.226,29.0,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,27376,0.0,0.0,0.0,0.0
20_09_2022_15_43_39.414,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,27564,0.0,0.0,0.0,0.0
20_09_2022_15_43_39.601,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,27751,0.0,0.0,0.0,0.0
20_09_2022_15_43_39.751,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,27901,0.0,0.0,0.0,0.0
20_09_2022_15_43_39.939,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,28089,0.0,0.0,0.0,0.0
20_09_2022_15_43_40.126,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,28276,0.0,0.0,0.0,0.0
20_09_2022_15_43_40.314,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,28464,0.0,0.0,0.0,0.0
20_09_2022_15_43_40.463,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,28613,0.0,0.0,0.0,0.0
20_09_2022_15_43_40.652,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,28802,0.0,0.0,0.0,0.0
20_09_2022_15_43_40.838,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,28988,0.0,0.0,0.0,0.0
20_09_2022_15_43_41.027,28.9,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,29177,0.0,0.0,0.0,0.0
20_09_2022_15_43_41.176,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,29326,0.0,0.0,0.0,0.0
20_09_2022_15_43_41.364,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,29514,0.0,0.0,0.0,0.0
20_09_2022_15_43_41.551,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,29701,0.0,0.0,0.0,0.0
20_09_2022_15_43_41.739,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,29889,0.0,0.0,0.0,0.0
20_09_2022_15_43_41.927,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,30077,0.0,0.0,0.0,0.0
20_09_2022_15_43_42.076,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,30226,0.0,0.0,0.0,0.0
20_09_2022_15_43_42.263,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,30413,0.0,0.0,0.0,0.0
20_09_2022_15_43_42.452,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,30602,0.0,0.0,0.0,0.0
20_09_2022_15_43_42.677,28.9,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,30827,0.0,0.0,0.0,0.0
20_09_2022_15_43_42.827,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,30977,0.0,0.0,0.0,0.0
20_09_2022_15_43_43.013,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,31163,0.0,0.0,0.0,0.0
20_09_2022_15_43_43.501,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,31651,0.0,0.0,0.0,0.0
20_09_2022_15_43_43.650,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,31800,0.0,0.0,0.0,0.0
20_09_2022_15_43_44.481,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,32631,0.0,0.0,0.0,0.0
20_09_2022_15_43_44.631,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,32781,0.0,0.0,0.0,0.0
20_09_2022_15_43_45.752,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,33902,0.0,0.0,0.0,0.0
20_09_2022_15_43_45.938,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,34088,0.0,0.0,0.0,0.0
20_09_2022_15_43_46.088,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,34238,0.0,0.0,0.0,0.0
20_09_2022_15_43_46.275,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,34425,0.0,0.0,0.0,0.0
20_09_2022_15_43_46.463,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,34613,0.0,0.0,0.0,0.0
20_09_2022_15_43_46.651,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,34801,0.0,0.0,0.0,0.0
20_09_2022_15_43_46.800,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,34950,0.0,0.0,0.0,0.0
20_09_2022_15_43_46.988,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,35138,0.0,0.0,0.0,0.0
20_09_2022_15_43_47.177,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,35327,0.0,0.0,0.0,0.0
20_09_2022_15_43_47.363,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,35513,0.0,0.0,0.0,0.0
20_09_2022_15_43_47.513,28.9,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,35663,0.0,0.0,0.0,0.0
20_09_2022_15_43_47.701,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,35851,0.0,0.0,0.0,0.0
20_09_2022_15_43_47.888,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,36038,0.0,0.0,0.0,0.0
20_09_2022_15_43_48.076,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,36226,0.0,0.0,0.0,0.0
20_09_2022_15_43_48.226,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,36376,0.0,0.0,0.0,0.0
20_09_2022_15_43_48.451,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,36601,0.0,0.0,0.0,0.0
20_09_2022_15_43_48.602,28.9,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,36752,0.0,0.0,0.0,0.0
20_09_2022_15_43_48.826,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,36976,0.0,0.0,0.0,0.0
20_09_2022_15_43_48.976,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,37126,0.0,0.0,0.0,0.0
20_09_2022_15_43_49.163,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,37313,0.0,0.0,0.0,0.0
20_09_2022_15_43_49.351,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,37501,0.0,0.0,0.0,0.0
20_09_2022_15_43_49.500,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,37650,0.0,0.0,0.0,0.0
20_09_2022_15_43_49.688,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,37838,0.0,0.0,0.0,0.0
20_09_2022_15_43_49.876,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,38026,0.0,0.0,0.0,0.0
20_09_2022_15_43_50.364,28.9,0.00,0.00,0,0.0,37.4,0.006,0.000,0.212,0.000,0.236,0,0,38514,0.0,0.0,0.0,0.0
20_09_2022_15_43_50.552,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,38702,0.0,0.0,0.0,0.0
20_09_2022_15_43_50.701,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,38851,0.0,0.0,0.0,0.0
20_09_2022_15_43_51.189,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,39339,0.0,0.0,0.0,0.0
20_09_2022_15_43_51.376,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,39526,0.0,0.0,0.0,0.0
20_09_2022_15_43_51.565,28.9,0.00,0.00,0,0.0,37.3,0.006,0.000,0.212,0.000,0.236,0,0,39715,0.0,0.0,0.0,0.0
